,Value,Cnt,Alg
0,0.9999999999999999,0,SCFS
1,0.2718894696089818,1,SCFS
2,0.18801700586542502,2,SCFS
3,0.1483894924883407,3,SCFS
4,0.13823648084771606,4,SCFS
5,0.13405270427977528,5,SCFS
6,0.12932647631850486,6,SCFS
7,0.11760538042798571,7,SCFS
8,0.11151967431754448,8,SCFS
9,0.1365998606331939,9,SCFS
10,0.4,10,SCFS
11,0.9999999999999999,0,CLINK
12,0.25796289843850817,1,CLINK
13,0.17672236678307138,2,CLINK
14,0.14086775232696644,3,CLINK
15,0.13147892154343213,4,CLINK
16,0.1285017797081061,5,CLINK
17,0.12421908850193783,6,CLINK
18,0.11130772881329556,7,CLINK
19,0.10497414849742337,8,CLINK
20,0.12819809573142904,9,CLINK
21,0.4,10,CLINK
22,0.9999999999999999,0,MAP
23,0.2718894696089818,1,MAP
24,0.18801700586542502,2,MAP
25,0.1483894924883407,3,MAP
26,0.13823648084771606,4,MAP
27,0.13405270427977528,5,MAP
28,0.12932647631850486,6,MAP
29,0.11760538042798571,7,MAP
30,0.11151967431754448,8,MAP
31,0.1365998606331939,9,MAP
32,0.4,10,MAP
